Location,Model,n_train,n_val,n_test,Train_R2,Train_RMSE,Train_MAE,Train_MAPE,Train_MedAE,Val_R2,Val_RMSE,Val_MAE,Val_MAPE,Val_MedAE,Test_R2,Test_RMSE,Test_MAE,Test_MAPE,Test_MedAE
854 Sok No:51/a,Ridge,14,3,4,0.9436116856317137,0.1055772940991261,0.07773421879970499,0.0008674405293233189,0.05216659382267608,-5.366270751573935,0.38562157348140796,0.34313800496022867,0.003813279361347366,0.25724103228331785,-44.782539204898875,0.8558585124278038,0.8114907805979144,0.009060664427667849,0.9245789829750493
854 Sok No:51/a,RandomForest,14,3,4,0.20861815067657752,0.3955205140680328,0.31228888168844954,0.003485921200723589,0.24027851623353058,-11.574979598527571,0.5419664647551744,0.528245161063173,0.005864632600866196,0.4656593423906372,-0.17962808798229424,0.13738034068282023,0.1317320831554838,0.001471703888440314,0.13381603024765099
854 Sok No:51/a,GradientBoosting,14,3,4,-0.0015613469958439818,0.44495362436738395,0.35254441226378525,0.003936237661430419,0.2773141285322751,-12.02749723912417,0.5516317629236921,0.5300372632543476,0.005883888876600886,0.43389306634801983,-0.054376835742951046,0.12988229818703975,0.12373884173121041,0.001381466822068502,0.11685474958796505
854 Sok No:51/a,XGBoost,14,3,4,0.7665286599659109,0.21482892679437152,0.15163277358404365,0.0016926489073759439,0.10080244987251064,-7.378156867629114,0.44237748348550043,0.4010539976595548,0.004451443891421014,0.41855475459871627,-1.7095272585383459,0.20820866464475077,0.15436677988578396,0.0017261714621412312,0.15756942297657162
