Location,Model,n_train,n_val,n_test,Train_R2,Train_RMSE,Train_MAE,Train_MAPE,Train_MedAE,Val_R2,Val_RMSE,Val_MAE,Val_MAPE,Val_MedAE,Test_R2,Test_RMSE,Test_MAE,Test_MAPE,Test_MedAE
Dicle Cad. No:88 Aile Sağlığı Merkezi,Ridge,15,3,4,0.9506715613081274,0.06413758711710893,0.047801788602865256,0.0005330656967962252,0.02706523612468459,-1.208513601637263,1.3971837061730854,1.2276940943668488,0.013789896801297859,1.1112288740244338,-52.577094611965585,0.688993270631084,0.535822359391652,0.0059401816507518804,0.4129510830431329
Dicle Cad. No:88 Aile Sağlığı Merkezi,RandomForest,15,3,4,0.3300129536324993,0.23637260188143178,0.18974819959424374,0.002113248852132891,0.20796839653702648,-0.15264708208758604,1.0093729238896247,0.7914585440237403,0.008918337097347654,0.37655117017308726,-15.887435584973161,0.3868185151187141,0.36915688466086394,0.00409246855980483,0.3568647398318703
Dicle Cad. No:88 Aile Sağlığı Merkezi,GradientBoosting,15,3,4,-2.7621461166082995e-05,0.28878187413265677,0.23197910259549512,0.002583251564533804,0.25425280629035285,-0.09520706056803285,0.9839014273653084,0.7871154245870287,0.008864646158655303,0.4605826409050451,-17.291049279880266,0.40257306176494534,0.3914137473480146,0.0043395039910983,0.3810410171089842
Dicle Cad. No:88 Aile Sağlığı Merkezi,XGBoost,15,3,4,0.5465734717378746,0.19445423024920655,0.13839281256108507,0.0015413510560715739,0.13382295094955055,-0.22296804618558608,1.0397071439989456,0.8017905987790783,0.009038067175786762,0.35346222842260033,-13.760886169837473,0.3616442932404158,0.34340588369369485,0.0038069343412956134,0.31234328979996206
