Location,Model,n_train,n_val,n_test,Train_R2,Train_RMSE,Train_MAE,Train_MAPE,Train_MedAE,Val_R2,Val_RMSE,Val_MAE,Val_MAPE,Val_MedAE,Test_R2,Test_RMSE,Test_MAE,Test_MAPE,Test_MedAE
Başpehlivan Kara Ali Cad. No:25/a,Ridge,14,3,3,0.8859984303379244,0.12518796084522704,0.08393645568530315,0.0009411694413287319,0.04292683369730099,-2.246317395435458,0.436688290448318,0.3976211100429576,0.004440316752869849,0.31621173755300447,-8.219578256427575,1.2272360057601621,1.0953527066458264,0.012285092625943276,1.1395611966088808
Başpehlivan Kara Ali Cad. No:25/a,RandomForest,14,3,3,0.2244964961969922,0.32651191344287267,0.2637791796419374,0.002959261958136415,0.23558077740503336,-1.7892953776745442,0.40478397493633334,0.32344765086447086,0.0036074690801668444,0.37217110489791594,-0.037285625146947554,0.41164395363577155,0.37247346004015,0.0041856968857176165,0.37150767439796084
Başpehlivan Kara Ali Cad. No:25/a,GradientBoosting,14,3,3,-7.251248862294446e-05,0.3707856305754854,0.3185751614926216,0.003574235383479048,0.2831468461516522,-2.710820474426,0.46688619125929554,0.399049192033966,0.004452419526914996,0.45211550096915687,-0.01554797504895955,0.40730785282503784,0.38853128535708,0.004362447211857895,0.43806759781864457
Başpehlivan Kara Ali Cad. No:25/a,XGBoost,14,3,3,0.6167871579718978,0.22952351017277622,0.1555710578783557,0.001745603798102077,0.09539417439142994,-0.5769064165303195,0.3043540024802048,0.2751750753493572,0.003072115667673525,0.19501333778678998,-0.1079120895238439,0.4254271591871391,0.32870692741478064,0.0036999253039761513,0.24779893073002768
