Location,Model,n_train,n_val,n_test,Train_R2,Train_RMSE,Train_MAE,Train_MAPE,Train_MedAE,Val_R2,Val_RMSE,Val_MAE,Val_MAPE,Val_MedAE,Test_R2,Test_RMSE,Test_MAE,Test_MAPE,Test_MedAE
Kazım Dirik Cad. No.46,Ridge,14,3,4,0.9461798917929934,0.06384215573898,0.047786297388632146,0.0005329659267459322,0.03382976019823758,-13.389076998598268,0.6487165140191357,0.543345383033658,0.006057859253114307,0.5473338025656886,-11.39179683138898,1.1854829857742537,1.0768021604833535,0.012024480494091803,1.2272216620616518
Kazım Dirik Cad. No.46,RandomForest,14,3,4,0.17883091084811198,0.24937422108707719,0.18597301979010844,0.002073776902192446,0.12759823874067422,-0.07599322345709547,0.17739576738156537,0.16737066661637812,0.0018648080080044722,0.17258484723151923,-0.39271321566355444,0.3974285218496058,0.36862560291302415,0.0041226748001358254,0.3042370460160768
Kazım Dirik Cad. No.46,GradientBoosting,14,3,4,-0.0007667063331810997,0.2752971303211037,0.2032713523223809,0.0022668808861161746,0.16383253784523077,-0.035156141727710866,0.1739968624157304,0.17034579963087518,0.0018984253251094329,0.18104779501712187,-0.5008476243522364,0.41256889716093403,0.3824292106069649,0.0042776369538005095,0.30221932845560673
Kazım Dirik Cad. No.46,XGBoost,14,3,4,0.3363721049157138,0.22418036734524868,0.15015234323651935,0.0016744324999431333,0.07910298509530378,-0.00808368578524643,0.17170651691251693,0.16527157663431544,0.001841607256563951,0.1698687051290051,-0.44579045970315767,0.40493084563571435,0.3688326161023596,0.0041255511682845225,0.2896575303599036
