Location,Model,n_train,n_val,n_test,Train_R2,Train_RMSE,Train_MAE,Train_MAPE,Train_MedAE,Val_R2,Val_RMSE,Val_MAE,Val_MAPE,Val_MedAE,Test_R2,Test_RMSE,Test_MAE,Test_MAPE,Test_MedAE
Fatih Cd. İle Beyazıt Cd. Tuğlacı Önü Mersinli,Ridge,15,3,4,0.9224659717328673,0.09139896065294648,0.07453758435468766,0.0008290781714051566,0.07617416273542688,-6.113822826400498,0.6063391741561286,0.5789393541889609,0.006483728179196946,0.492158715504857,-3.7144845192756897,0.8759317452584646,0.7894186966209382,0.008856606860940568,0.8170430571902401
Fatih Cd. İle Beyazıt Cd. Tuğlacı Önü Mersinli,RandomForest,15,3,4,0.380781180549127,0.2582956882777528,0.19030975113091225,0.0021152557175018174,0.15563255225544026,-4.384637816047582,0.5275241592811027,0.4764534932324314,0.005338213492199536,0.4010687943650879,-1.5929331833150284,0.6496041968224882,0.5641876112536686,0.00633219031793258,0.5721057865850483
Fatih Cd. İle Beyazıt Cd. Tuğlacı Önü Mersinli,GradientBoosting,15,3,4,-0.0012792336067359855,0.32845258753071044,0.2474414304702975,0.0027510088832689685,0.1840288565228434,-6.975480473437327,0.6420110952315351,0.6004144963086636,0.006725427079113891,0.5288968010647608,-2.4770238640769056,0.75224099042069,0.6349188990812813,0.007128269080810708,0.6968290261926597
Fatih Cd. İle Beyazıt Cd. Tuğlacı Önü Mersinli,XGBoost,15,3,4,0.5559482618996462,0.21873177144475076,0.13599160134902205,0.001511322714075936,0.04734312217235015,-4.6935509370348605,0.542445000416551,0.49260227751247027,0.005518927714653263,0.4450815712008591,-1.574854189921532,0.647335582061165,0.555653294662843,0.006237155189740527,0.5632548851959456
