Location,Model,n_train,n_val,n_test,Train_R2,Train_RMSE,Train_MAE,Train_MAPE,Train_MedAE,Val_R2,Val_RMSE,Val_MAE,Val_MAPE,Val_MedAE,Test_R2,Test_RMSE,Test_MAE,Test_MAPE,Test_MedAE
3948/6 Sok. No:2 C.çeşme,Ridge,15,3,4,0.7126947860710182,0.13118213103766968,0.08290398099018054,0.0009227187649729011,0.044125642980603175,-29.40811581692871,0.3858751803366301,0.29075523320126706,0.0032241219340510834,0.24725052149887006,-7.063442342770999,0.5885300577653667,0.585207797490991,0.006484403701018661,0.6093586030223648
3948/6 Sok. No:2 C.çeşme,RandomForest,15,3,4,0.17096586173355754,0.2228379400696716,0.157530632918116,0.001752788858882697,0.11766812597483067,-2.5805060191512967,0.1324110697275984,0.11065248608872953,0.0012271975474450756,0.08715548334167522,-1.430570526985227,0.32311901743609606,0.291203180814108,0.0032229705496027374,0.2983375813791582
3948/6 Sok. No:2 C.çeşme,GradientBoosting,15,3,4,-0.0010899140346150027,0.24487219311952974,0.1795902365170292,0.0019980286373123208,0.14183914613884951,-1.9534124991095037,0.12025804638154593,0.09780230069682243,0.0010846322289857007,0.0709004291562394,-1.264299187237027,0.31187122861965144,0.28354893250851987,0.003138413181891331,0.2876331403892962
3948/6 Sok. No:2 C.çeşme,XGBoost,15,3,4,0.14027956393561014,0.22692458667127027,0.15233354035718208,0.0016953532755924542,0.11240161414185934,-2.8996695123869944,0.13818661918082883,0.11409986855302161,0.0012654057517845045,0.07846996966868858,-1.4776766516862132,0.32623512595126647,0.29191133948349446,0.0032306038813726713,0.3100800002376829
