Location,Model,n_train,n_val,n_test,Train_R2,Train_RMSE,Train_MAE,Train_MAPE,Train_MedAE,Val_R2,Val_RMSE,Val_MAE,Val_MAPE,Val_MedAE,Test_R2,Test_RMSE,Test_MAE,Test_MAPE,Test_MedAE
Kahramanlar Cd. No:2 H. Bayram Camii,Ridge,15,3,4,0.9177650111470836,0.04919957739282805,0.04272635325890235,0.0004745304472832871,0.041707551264181575,-12.226481446284726,0.2738595879632839,0.20635469915845306,0.0022902805155841093,0.13891727487116157,0.4454988556786269,0.16398366836730643,0.14153642416655998,0.0015696303964881524,0.1704625223838292
Kahramanlar Cd. No:2 H. Bayram Camii,RandomForest,15,3,4,0.27639330867128664,0.14594335995742638,0.11128253625370993,0.0012356989076560238,0.09220051342109059,-0.06833280686348253,0.07783215753875833,0.06322008064353213,0.0007011943077169178,0.06583665203152123,-0.5810346401126536,0.27689815804809326,0.26393338226634455,0.0029233268784432578,0.24767722058094677
Kahramanlar Cd. No:2 H. Bayram Camii,GradientBoosting,15,3,4,-0.00019013989066163361,0.17158303198579475,0.1344433591203104,0.0014927531148212073,0.10598558262810798,-0.3693126378085718,0.08811647088434106,0.06963125346783272,0.0007721275814279263,0.035804216103386466,-0.45526010362133107,0.26565603460068316,0.25692828507185794,0.0028463891202559874,0.25089614474072874
Kahramanlar Cd. No:2 H. Bayram Camii,XGBoost,15,3,4,-3.598885633948612e-10,0.17156672195305503,0.13428542517112968,0.001490960630484844,0.1036165733903971,-0.40853975267224985,0.08936970843829632,0.07042092321373634,0.0007808734122184977,0.03343520686567558,-0.4698928405121756,0.2669882885281605,0.2581127896907134,0.0028594634695260565,0.25089614474072874
