Location,Model,n_train,n_val,n_test,Train_R2,Train_RMSE,Train_MAE,Train_MAPE,Train_MedAE,Val_R2,Val_RMSE,Val_MAE,Val_MAPE,Val_MedAE,Test_R2,Test_RMSE,Test_MAE,Test_MAPE,Test_MedAE
8022/1 Sok. No:8/1-b Ataşehir,Ridge,14,3,4,0.8692242931418777,0.17943284013078764,0.14330913487741473,0.001608018978178401,0.10956568523016585,-375.74977122790233,1.9476813307796406,1.8207047874880022,0.02039350838136895,1.6496072254321348,-0.05972305012851087,0.48407879770076484,0.3890592017877559,0.00436895488166089,0.3605388235207059
8022/1 Sok. No:8/1-b Ataşehir,RandomForest,14,3,4,0.12223078032595536,0.4648668389373193,0.37556802767945435,0.0042100279256026595,0.4113363172256328,-11.346680754908416,0.35258717578457033,0.3337790262424913,0.0037359693333816903,0.2562513188384088,-0.0803119203244913,0.4887586481888764,0.45583477754686186,0.005105975272096162,0.4606219541862089
8022/1 Sok. No:8/1-b Ataşehir,GradientBoosting,14,3,4,-0.0004687653873347575,0.496295297930312,0.40116506176939637,0.004497757061898035,0.4342463495490918,-7.032305286742352,0.28438815651460025,0.2660971730977053,0.0029782871947118803,0.19562625922318944,-0.03045109696267878,0.4773463035199396,0.4632637340783319,0.005193503244626854,0.4714318130936377
8022/1 Sok. No:8/1-b Ataşehir,XGBoost,14,3,4,0.7599239872637484,0.24311557255528568,0.1677755899073767,0.0018800804012448515,0.15911261422314027,-15.108351586806041,0.40273275482564597,0.3892722970017341,0.004357479135211801,0.3315515690539712,-0.21603166261353057,0.518551998549714,0.47787974665157407,0.005352983511935343,0.5184059952225439
