Location,Model,n_train,n_val,n_test,Train_R2,Train_RMSE,Train_MAE,Train_MAPE,Train_MedAE,Val_R2,Val_RMSE,Val_MAE,Val_MAPE,Val_MedAE,Test_R2,Test_RMSE,Test_MAE,Test_MAPE,Test_MedAE
Başarı Cad.i̇le 170. Sok.kavşağı,Ridge,14,3,4,0.819882523751142,0.0965533260541581,0.085098232246604,0.0009433239688405576,0.06826637407741742,-148.0684300388991,0.36261351934035685,0.3439060649373431,0.0038130980586285924,0.3245147837590707,-6.523713507166981,0.6788154502404152,0.5916799888481599,0.00659805365136948,0.5585082132579586
Başarı Cad.i̇le 170. Sok.kavşağı,RandomForest,14,3,4,0.13597307320932117,0.21147203810163048,0.15722351224857484,0.0017423636787523814,0.10974057307312535,-1.9667959985482133,0.051155813501309565,0.040336715920356404,0.0004473049946669445,0.02191500197687901,-3.240296524291022,0.5096050318558685,0.4447056752540881,0.00495987422979613,0.36971953166433735
Başarı Cad.i̇le 170. Sok.kavşağı,GradientBoosting,14,3,4,-0.00044098466819342264,0.22755430168137217,0.16592886187838474,0.001838854753454615,0.12710937723284133,-3.0196551560885787,0.059545034538067254,0.051609520943799225,0.0005722739336520415,0.03636806013548721,-3.3380098041761714,0.5154432518470331,0.4521467334328122,0.0050426971556889,0.3767084766473445
Başarı Cad.i̇le 170. Sok.kavşağı,XGBoost,14,3,4,0.017171100110378923,0.22554243844630745,0.16132667374051227,0.0017879619408262683,0.12100444631288809,-3.515488159579239,0.06311077407925422,0.055481537946860726,0.0006152021715281068,0.03963735497057996,-3.399449698556012,0.5190805688489137,0.4561846897669284,0.005087669547928323,0.3808818547343904
