Location,Model,n_train,n_val,n_test,Train_R2,Train_RMSE,Train_MAE,Train_MAPE,Train_MedAE,Val_R2,Val_RMSE,Val_MAE,Val_MAPE,Val_MedAE,Test_R2,Test_RMSE,Test_MAE,Test_MAPE,Test_MedAE
Yavuz Cad. 241/C Osmangazi,Ridge,14,3,4,0.9279757879928701,0.1482220309176796,0.1280795574473846,0.001431228203726974,0.10265498221066593,-3.2741196095521676,0.5075729214007821,0.4132312473318649,0.0046339684151260165,0.47029488368828254,-3.8132910454665208,1.0799934733498084,0.8033831190592551,0.009055092411669782,0.7104711914750794
Yavuz Cad. 241/C Osmangazi,RandomForest,14,3,4,0.21528279331232636,0.489249161098487,0.44503671976933895,0.004974361070478452,0.501627759239021,-0.40787753787088343,0.29131144603550646,0.27949628524559483,0.0031305597822273777,0.2680807872804678,-0.5913427874176731,0.6209861863090946,0.5016803018885909,0.0056494288203071084,0.5442267349838943
Yavuz Cad. 241/C Osmangazi,GradientBoosting,14,3,4,-0.0008021529443840159,0.5525195091697711,0.49941561735729223,0.005581226081482031,0.5179834034929769,-0.22548011667298162,0.2717867269747955,0.2675109206209214,0.0029952231777056106,0.24126148136507197,-0.44836620807514227,0.592433026613619,0.48156282450674937,0.005421711040120131,0.5421723136795364
Yavuz Cad. 241/C Osmangazi,XGBoost,14,3,4,0.8549465697462506,0.21034757210957328,0.16127267738100873,0.0018024842749403212,0.1703871658687106,-0.9033235724548883,0.3387126542891728,0.33081132642172406,0.003701333367099197,0.35678656593319147,-0.5453879401749857,0.6119540718551923,0.4968006327342884,0.005593303309391515,0.5660622504150723
