Location,Model,n_train,n_val,n_test,Train_R2,Train_RMSE,Train_MAE,Train_MAPE,Train_MedAE,Val_R2,Val_RMSE,Val_MAE,Val_MAPE,Val_MedAE,Test_R2,Test_RMSE,Test_MAE,Test_MAPE,Test_MedAE
Başak Cd. No:16 Bahçe Cafe İnciralti,Ridge,15,3,4,0.6772087621691043,0.2852988398756614,0.2339419536128588,0.002621109330804817,0.15099581872252088,-289.8521421898441,1.215943579838415,1.0444258536719484,0.011658637685716759,1.1298214360361243,-21.29686916544179,1.5541756601849246,1.0551326997311712,0.011830880863298213,0.47188609420955174
Başak Cd. No:16 Bahçe Cafe İnciralti,RandomForest,15,3,4,0.2617508790952604,0.431460066693837,0.27410073979999844,0.0030764493138899134,0.15169953810826087,-6.455977346064432,0.19468369506887423,0.1697894404578856,0.0018948944577866199,0.10271187791323655,0.11058727041215755,0.31040580243161275,0.3062253407998803,0.003426903239194242,0.32246639262505283
Başak Cd. No:16 Bahçe Cafe İnciralti,GradientBoosting,15,3,4,-0.004400011794237102,0.5032600907630348,0.31543032025824497,0.0035403246177398372,0.21060722514496888,-1.7076846104978318,0.11732115473856275,0.0938696641223468,0.001047346633915423,0.10918077683264471,-0.1019399034671189,0.3455072107105214,0.32476170486915024,0.0036382077015378236,0.3121699557956319
Başak Cd. No:16 Bahçe Cafe İnciralti,XGBoost,15,3,4,0.6585170896457695,0.29344291222074065,0.13663993012771034,0.0015348837073546312,0.02416260047928631,-9.38958259785738,0.229813925268121,0.17211086451668223,0.0019202180790171839,0.12147271530932358,-0.4635362144199646,0.3981804170417807,0.384232835240244,0.004301354878002966,0.4211520419772725
