Location,Model,n_train,n_val,n_test,Train_R2,Train_RMSE,Train_MAE,Train_MAPE,Train_MedAE,Val_R2,Val_RMSE,Val_MAE,Val_MAPE,Val_MedAE,Test_R2,Test_RMSE,Test_MAE,Test_MAPE,Test_MedAE
Ankara Cad. İle Atatürk Cad. Kav,Ridge,15,3,4,0.9324055987040129,0.0741973942717825,0.06213664529221793,0.0006905227152885675,0.06946248277097311,-4.024012200914913,0.5160376281995288,0.5075158471481179,0.005680624814090737,0.4489726908192182,-18.468157810897832,0.8721054081804129,0.8528774346416306,0.009572418087986399,0.8558974051997836
Ankara Cad. İle Atatürk Cad. Kav,RandomForest,15,3,4,0.40682814541085244,0.21979791012393798,0.18249418121078995,0.002028863462992119,0.13782317436914582,-4.766289079932667,0.5528460783552893,0.5009274553131036,0.005611029707258863,0.37176945543033924,-15.698295611015649,0.8076861266917867,0.7865434088263576,0.008828645852551931,0.7429870379966843
Ankara Cad. İle Atatürk Cad. Kav,GradientBoosting,15,3,4,-0.0025651535935580227,0.28575220716045535,0.23668906497983927,0.0026316707077013797,0.22919200798372685,-7.35437433044004,0.6654462669107938,0.6243511175133847,0.006991766443043751,0.5055873631905996,-19.44832437820294,0.8937898400624901,0.8716610607574502,0.00978394157199398,0.8052621240678235
Ankara Cad. İle Atatürk Cad. Kav,XGBoost,15,3,4,0.568793591930087,0.18740272164766966,0.14409857255476954,0.0016021725951177316,0.10957640928511125,-4.958953470711897,0.5620060941926034,0.5030949020396681,0.005635759265543096,0.36899097844604967,-14.739948569636503,0.7841663557006693,0.7610141541623143,0.008542357550873955,0.7216824019209298
