Location,Model,n_train,n_val,n_test,Train_R2,Train_RMSE,Train_MAE,Train_MAPE,Train_MedAE,Val_R2,Val_RMSE,Val_MAE,Val_MAPE,Val_MedAE,Test_R2,Test_RMSE,Test_MAE,Test_MAPE,Test_MedAE
8809 Sok. No:141/a Evka-5,Ridge,15,3,4,0.9004103245818568,0.14916198385724977,0.11953082072253665,0.0013437443738795705,0.08243591762368396,-12.97077955184814,0.7736095730434381,0.5451615988538995,0.006114235313297817,0.3007494231462289,-2.858822050419308,0.48621238897790775,0.42946169541628976,0.004802689381434709,0.4263608426366332
8809 Sok. No:141/a Evka-5,RandomForest,15,3,4,0.17895964986004131,0.4282853735120761,0.3830031869038313,0.004305260945461217,0.3443328570024562,-1.8192809687362432,0.3475207134768791,0.2791363742257573,0.003122708106841948,0.2645542686588982,-2.534097672100501,0.46530521385983087,0.3896460048277106,0.0043517388711846,0.4481617596374434
8809 Sok. No:141/a Evka-5,GradientBoosting,15,3,4,-1.4444377124611663e-05,0.47266574460988253,0.42131578089374483,0.004735211241070443,0.40728653858930386,-2.146349651948736,0.36712588570357474,0.30322272860896266,0.0033925929265848265,0.2563607862842332,-3.2048335171708118,0.507543239863938,0.4430996244428975,0.004950016733797408,0.49735726613028675
8809 Sok. No:141/a Evka-5,XGBoost,15,3,4,0.783250723828603,0.22005428020748452,0.16289303169268976,0.0018309393147266575,0.14567995100648545,-3.3062537643467547,0.42949817698880094,0.38191331151411134,0.00427475491895713,0.38343444617505895,-3.649227966282349,0.53369000051733,0.4715252130446608,0.005268092090639246,0.5267051943175289
