Location,Model,n_train,n_val,n_test,Train_R2,Train_RMSE,Train_MAE,Train_MAPE,Train_MedAE,Val_R2,Val_RMSE,Val_MAE,Val_MAPE,Val_MedAE,Test_R2,Test_RMSE,Test_MAE,Test_MAPE,Test_MedAE
Koşuyolu Cad. Efeler Mah. No:41 Avni Naili Limboz Camii,Ridge,14,3,4,0.890517109889204,0.0750400127874362,0.05920258667022945,0.0006564190926451038,0.0459748384804044,-42.73848361596107,0.2614731029691036,0.24234282612306401,0.0026862060369784494,0.2647393196501042,-7.273031038580601,0.798245680356543,0.6649239325754799,0.007400867332754473,0.6073891948950063
Koşuyolu Cad. Efeler Mah. No:41 Avni Naili Limboz Camii,RandomForest,14,3,4,0.1471369562117053,0.20943989945414412,0.15309774556099548,0.0016967197675148188,0.09609866168047176,-0.9369132139578737,0.05502375701912855,0.0477292751832484,0.0005292092017685849,0.03958103795808654,-2.740780554324311,0.5367664540231535,0.4580005713592179,0.005110520611078398,0.3681121586535383
Koşuyolu Cad. Efeler Mah. No:41 Avni Naili Limboz Camii,GradientBoosting,14,3,4,-0.0003942752738816946,0.2268325482150726,0.1654832086422979,0.0018340689181624368,0.11226722446101434,-1.0383345480102122,0.056445963734463235,0.04548979305259119,0.0005044155304003459,0.03963244469265703,-2.7801074075552616,0.5395805919194138,0.46273786413399876,0.005163199369643068,0.3736279921027901
Koşuyolu Cad. Efeler Mah. No:41 Avni Naili Limboz Camii,XGBoost,14,3,4,0.03492891634620732,0.22279191386560548,0.15845379811613367,0.0017561862596696426,0.1068135733909088,-1.0975096053797193,0.05725944560948133,0.04775955353461351,0.0005295662333304723,0.04059760992778649,-2.727018309052478,0.5357781685214266,0.45902239582420634,0.005121777660797761,0.3715490289199508
