Location,Model,n_train,n_val,n_test,Train_R2,Train_RMSE,Train_MAE,Train_MAPE,Train_MedAE,Val_R2,Val_RMSE,Val_MAE,Val_MAPE,Val_MedAE,Test_R2,Test_RMSE,Test_MAE,Test_MAPE,Test_MedAE
220 Sok. No:163/b Çamlıkule,Ridge,15,3,4,0.9001308133656962,0.056097391042622076,0.04537477337456248,0.0005030464841878381,0.03928131442621918,-0.26166575436711415,0.11616895417578484,0.09735506884761473,0.0010788901018644306,0.06662285460816975,-8.467555331164371,0.3319517892892712,0.2774439186369193,0.0030701371319075323,0.28851330536496533
220 Sok. No:163/b Çamlıkule,RandomForest,15,3,4,0.2488878214766651,0.15384355576105327,0.11760478187330912,0.001303379929988377,0.09190128800666741,-0.1863164738037495,0.11264662974918696,0.09358634249414877,0.001037636815329635,0.12070823113060669,-2.5905941358413447,0.20442746658976513,0.17316457265027907,0.001916056675713494,0.1770873993952904
220 Sok. No:163/b Çamlıkule,GradientBoosting,15,3,4,-0.0011339987276219876,0.17761228946265012,0.13721317938034852,0.0015207260254984786,0.10552193451323433,-0.01911152165142438,0.10440679824706725,0.08451238754385788,0.0009369614034994705,0.10532206217240514,-1.9943972428792884,0.18668558931626397,0.16019842117022165,0.0017726203375719519,0.17113231158316466
220 Sok. No:163/b Çamlıkule,XGBoost,15,3,4,0.00011471417830832831,0.177501487132432,0.13518454662961688,0.0014981230027448574,0.09946655383916436,-0.03836402058626209,0.10538838218917124,0.0865181321109958,0.0009591459300194333,0.09926668149833517,-2.1550429520731766,0.19162789367031466,0.1632070380209285,0.0018058728715499113,0.17714954528457838
