Location,Model,n_train,n_val,n_test,Train_R2,Train_RMSE,Train_MAE,Train_MAPE,Train_MedAE,Val_R2,Val_RMSE,Val_MAE,Val_MAPE,Val_MedAE,Test_R2,Test_RMSE,Test_MAE,Test_MAPE,Test_MedAE
Hürriyet Cad. Polis Mer. No:86 Atatürk,Ridge,14,3,3,0.9230782227699589,0.14437317718116635,0.1106397930146384,0.0012377969009914453,0.08668588678897038,-16.156769566366055,0.799517887434077,0.7658434320431459,0.0085757973639532,0.6657718284999419,-0.6205540816983834,0.5574998046625431,0.44020309825954484,0.0049325170594538515,0.39696200043468366
Hürriyet Cad. Polis Mer. No:86 Atatürk,RandomForest,14,3,3,0.2194794787112747,0.45989005910743364,0.4216833752535507,0.004718216311108179,0.4261721879695628,-0.7324418651726201,0.25406202802197786,0.2128391330707918,0.002386712907039987,0.1646861730298923,0.29486848935765686,0.36774604979570674,0.30021583678186897,0.0033690242280932747,0.3211639685797394
Hürriyet Cad. Polis Mer. No:86 Atatürk,GradientBoosting,14,3,3,-0.0003086068190083502,0.5206296070841038,0.4749250342624691,0.0053131683652035125,0.4148562048072222,-0.2645518067771926,0.21705947019955196,0.2052520589817514,0.002301102637455045,0.15895670900938796,-0.0058056136210280496,0.43920773767393323,0.3854053976474792,0.004322607608009648,0.41353184929157294
Hürriyet Cad. Polis Mer. No:86 Atatürk,XGBoost,14,3,3,0.8358404888685868,0.21090888908054212,0.1651038588007562,0.0018472714964178753,0.18549535127770866,-3.1294424765804862,0.3922438434962491,0.315195467241755,0.0035341472984804644,0.28212941391687707,0.6503399258976486,0.25896196251998993,0.22141027226507978,0.002484506073092883,0.2124934335935933
