Location,Model,n_train,n_val,n_test,Train_R2,Train_RMSE,Train_MAE,Train_MAPE,Train_MedAE,Val_R2,Val_RMSE,Val_MAE,Val_MAPE,Val_MedAE,Test_R2,Test_RMSE,Test_MAE,Test_MAPE,Test_MedAE
8790/5 Sok. 9 Eylül Camii Balatçık,Ridge,14,3,4,0.8272339778642431,0.22859300564460205,0.15095952517183012,0.0016960267671364047,0.0752850044155764,-16.38717227723088,0.6303860556466044,0.5733864080253994,0.006420515587119678,0.7256135714689975,-3.8589303451880568,0.7878922862305502,0.6734780228469717,0.00752055589566516,0.5550830453246149
8790/5 Sok. 9 Eylül Camii Balatçık,RandomForest,14,3,4,0.28661968185876485,0.46450921348881563,0.3612821519951999,0.0040497438622727755,0.29200588083949697,-8.430937251101142,0.4642688511634497,0.43964916637653556,0.0049225136376128105,0.3980507923362211,-3.809941065038614,0.7839103337454029,0.6970034783136185,0.007769102814675695,0.8652950991325454
8790/5 Sok. 9 Eylül Camii Balatçık,GradientBoosting,14,3,4,-0.0002029491980353182,0.5500191827075285,0.4610395893635482,0.005171053579221148,0.3748925878469649,-4.874063529840566,0.3664050399687634,0.33376263236509846,0.0037362325841890226,0.2736758431837387,-2.8339742718818712,0.699876012883932,0.6073077329373433,0.006767735582901176,0.7700116439592222
8790/5 Sok. 9 Eylül Camii Balatçık,XGBoost,14,3,4,0.791480670629929,0.2511348192335186,0.1525500491217662,0.0017094363979613153,0.04887239192498072,-13.417127234656444,0.5740258955842906,0.5444867145362053,0.006096379742492965,0.4942469305631789,-5.079494597645773,0.8813131502602981,0.8037326083224698,0.008961125915361587,0.9899227887117092
