Location,Model,n_train,n_val,n_test,Train_R2,Train_RMSE,Train_MAE,Train_MAPE,Train_MedAE,Val_R2,Val_RMSE,Val_MAE,Val_MAPE,Val_MedAE,Test_R2,Test_RMSE,Test_MAE,Test_MAPE,Test_MedAE
Dogus Cad. İle A.yesevi Cd. Kvs. Kuruçeşme,Ridge,15,3,4,0.8468748152212733,0.0678063492434886,0.05477735161932931,0.0006074430425029328,0.04796262849365007,-3.869923580995482,0.38088895322746974,0.24629732615597769,0.0027330974175296886,0.061023372522470254,-3.8042434594166146,0.20444488010100573,0.18934099113127445,0.0020981075241726156,0.2045887647005742
Dogus Cad. İle A.yesevi Cd. Kvs. Kuruçeşme,RandomForest,15,3,4,0.2979915355586775,0.14518382149812778,0.1134412048189707,0.0012573037649595588,0.0845817114540921,-0.060795570424295065,0.17776782253444817,0.14411655033396187,0.001600864382842289,0.1348200288293384,-0.2844002242043904,0.10570947637765175,0.08420580618608398,0.0009325963752314171,0.08974383959662191
Dogus Cad. İle A.yesevi Cd. Kvs. Kuruçeşme,GradientBoosting,15,3,4,-0.0017664399815695564,0.17343242175386747,0.13168543819144152,0.0014595917838131536,0.09915587205429688,-0.10537486934693541,0.1814646758893649,0.14950389383306137,0.0016606386219456266,0.14021370362186758,-0.44300486761098656,0.11204632927542305,0.09165988477331055,0.0010152366676765372,0.09382120690312235
Dogus Cad. İle A.yesevi Cd. Kvs. Kuruçeşme,XGBoost,15,3,4,-3.461222419787191e-10,0.17327944543975296,0.12925892334736205,0.0014325607933525874,0.09187632752205843,-0.07977168051013805,0.17935078029145773,0.14707737898898188,0.0016335913990776346,0.14749324815410603,-0.5529859923717699,0.11623783289123131,0.09165988477331055,0.0010151546980451016,0.09382120690312235
