Location,Model,n_train,n_val,n_test,Train_R2,Train_RMSE,Train_MAE,Train_MAPE,Train_MedAE,Val_R2,Val_RMSE,Val_MAE,Val_MAPE,Val_MedAE,Test_R2,Test_RMSE,Test_MAE,Test_MAPE,Test_MedAE
7191 Sok. No:1/a Doğançay,Ridge,15,3,4,0.8313164656762073,0.17336595170107746,0.13600896066602672,0.0015249528228272616,0.1053550090872335,-49.36820072274668,1.3264639933927242,0.9372908565909199,0.010546011353292912,0.48735821917030364,-85.48594368457388,1.4424736291163265,1.3805645005106868,0.015466244050478764,1.3079732184328066
7191 Sok. No:1/a Doğançay,RandomForest,15,3,4,0.19880861803812888,0.3778292677662348,0.3179156634579177,0.0035637004477042005,0.26902692735021105,-2.6072443123123614,0.35498093237491374,0.30438062214772305,0.0034219393516548824,0.177670309496321,-0.17351500398011077,0.16802714232276547,0.1343822086828439,0.0015071930045629186,0.12305386948797548
7191 Sok. No:1/a Doğançay,GradientBoosting,15,3,4,-0.00010047110015021232,0.42213297450636134,0.3583156642996651,0.0040163652047623365,0.31518768988301815,-1.5663966868534818,0.29941885143384267,0.23392041461238477,0.0026309075088144147,0.112304105042071,-0.05091661193530794,0.1590080993776033,0.14012847490163693,0.0015707197025807463,0.12633851591452583
7191 Sok. No:1/a Doğançay,XGBoost,15,3,4,0.7037727859861467,0.2297417575214221,0.15480978747776344,0.0017357390664125255,0.113662551937594,-3.401385478215297,0.39211364032684076,0.3412223410396014,0.003835760432209942,0.2684824759679856,-0.2168750561793027,0.17110319234668742,0.13962874955984006,0.0015661081011863753,0.10051147655584458
